,index,surname,first_name,name,birth_date,twitter_url,handle,wikipedia,in_current_parliament
15,39,,Keir,Keir Starmer,1962-09-20,https://twitter.com/keir_starmer,@keir_starmer,http://en.wikipedia.org/wiki/Keir_Starmer,1
16,41,,Simon,Simon Hoare,1969-06-28,https://twitter.com/simon4ndorset,@simon4ndorset,https://en.wikipedia.org/wiki/Simon_Hoare,1
17,42,,Helen,Helen Whately,1976-06-23,https://twitter.com/helen_whately,@helen_whately,https://en.wikipedia.org/wiki/Helen_Whately,1
18,43,Campbell,Ronnie,Ronnie Campbell,1943-08-14,https://twitter.com/BVLabour,@BVLabour,https://en.wikipedia.org/wiki/Ronnie_Campbell,1
19,48,,Justin,Justin Madders,1972-11-22,https://twitter.com/justinmadders,@justinmadders,https://en.wikipedia.org/wiki/Justin_Madders,1
20,50,Braverman,,Suella Fernandes,1980-04-03,https://twitter.com/SuellaFernandes,@SuellaFernandes,https://en.wikipedia.org/wiki/Suella_Fernandes,1
21,52,,Marcus,Marcus Fysh,1970-11-08,https://twitter.com/marcusfysh,@marcusfysh,https://en.wikipedia.org/wiki/Marcus_Fysh,1
22,57,Clark,Colin,Colin Clark,1969-05-20,https://twitter.com/Colin_J_Clark,@Colin_J_Clark,,1
23,61,Elliott,Julie,Julie Elliott,1963-07-29,https://twitter.com/JulieElliottMP,@JulieElliottMP,https://en.wikipedia.org/wiki/Julie_Elliott,1
24,64,,Philippa,Philippa Whitford,1958-12-24,https://twitter.com/Dr_PhilippaW,@Dr_PhilippaW,https://en.wikipedia.org/wiki/Philippa_Whitford,1
25,66,,Mark,Mark Pawsey,1957-01-16,https://twitter.com/MarkPawsey,@MarkPawsey,https://en.wikipedia.org/wiki/Mark_Pawsey,1
26,67,Bradshaw,Ben,Ben Bradshaw,1960-08-30,https://twitter.com/BenPBradshaw,@BenPBradshaw,https://en.wikipedia.org/wiki/Ben_Bradshaw,1
27,71,Prentis,Victoria,Victoria Prentis,1971-03-24,https://twitter.com/victoriaprentis,@victoriaprentis,https://en.wikipedia.org/wiki/Victoria_Prentis,1
28,73,Redwood,John,John Redwood,1951-06-15,https://twitter.com/johnredwood,@johnredwood,https://en.wikipedia.org/wiki/John_Redwood,1
29,75,,David,David Gauke,1971-10-08,https://twitter.com/DavidGauke,@DavidGauke,https://en.wikipedia.org/wiki/David_Gauke,1
30,78,,John,John Lamont,1976-04-15,https://twitter.com/John2Win,@John2Win,,1
31,81,Whittaker,Craig,Craig Whittaker,1962-08-30,https://twitter.com/Craig_Whittaker,@Craig_Whittaker,https://en.wikipedia.org/wiki/Craig_Whittaker,1
32,82,Graham,Richard,Richard Graham,1958-04-04,https://twitter.com/RichardGrahamUK,@RichardGrahamUK,https://en.wikipedia.org/wiki/Richard_Graham_(politician),1
33,86,Cordova,Marsha,Marsha de Cordova,1976-01-23,https://twitter.com/Marshadecordova,@Marshadecordova,,1
34,92,McCallion,Elisha,Elisha McCallion,1982-01-01,https://twitter.com/elishamcc_sf,@elishamcc_sf,,1
35,93,Powell,Lucy,Lucy Powell,1974-10-10,https://twitter.com/LucyMPowell,@LucyMPowell,https://en.wikipedia.org/wiki/Lucy_Powell,1
36,94,Edwards,Jonathan,Jonathan Edwards,1976-04-26,https://twitter.com/JonathanPlaid,@JonathanPlaid,https://en.wikipedia.org/wiki/Jonathan_Edwards_(Welsh_politician),1
37,95,Rudd,Amber,Amber Rudd,1963-08-01,https://twitter.com/AmberRuddhr,@AmberRuddhr,https://en.wikipedia.org/wiki/Amber_Rudd,1
38,98,,Michael,Michael Tomlinson,1977-10-01,https://twitter.com/michael4mdnp,@michael4mdnp,https://en.wikipedia.org/wiki/Michael_Tomlinson,1
39,99,Halfon,Robert,Robert Halfon,1969-03-22,https://twitter.com/Halfon4Harlow,@Halfon4Harlow,https://en.wikipedia.org/wiki/Robert_Halfon,1
40,100,Ellwood,Tobias,Tobias Ellwood,1966-08-12,https://twitter.com/Tobias_Ellwood,@Tobias_Ellwood,https://en.wikipedia.org/wiki/Tobias_Ellwood,1
41,101,Thewliss,Alison,Alison Thewliss,1982-09-13,https://twitter.com/alisonthewliss,@alisonthewliss,https://en.wikipedia.org/wiki/Alison_Thewliss,1
42,104,,,Tulip Siddiq,1982-09-16,https://twitter.com/tulipsiddiq,@tulipsiddiq,https://en.wikipedia.org/wiki/Tulip_Siddiq,1
43,105,Cartlidge,James,James Cartlidge,1974-04-30,https://twitter.com/jc4southsuffolk,@jc4southsuffolk,https://en.wikipedia.org/wiki/James_Cartlidge,1
44,106,Gwynne,Andrew,Andrew Gwynne,1974-06-04,https://twitter.com/GwynneMP,@GwynneMP,https://en.wikipedia.org/wiki/Andrew_Gwynne,1
45,107,Fitzpatrick,Jim,Jim Fitzpatrick,1952-04-04,https://twitter.com/FitzMP,@FitzMP,https://en.wikipedia.org/wiki/Jim_Fitzpatrick_(politician),1
46,110,Ashworth,Jon,Jon Ashworth,1978-10-14,https://twitter.com/JonAshworth,@JonAshworth,https://en.wikipedia.org/wiki/Jon_Ashworth,1
47,112,,Alex,Alex Sobel,1975-04-26,https://twitter.com/alexsobel,@alexsobel,,1
48,119,,Rebecca,Rebecca Pow,1960-10-10,https://twitter.com/pow_rebecca,@pow_rebecca,https://en.wikipedia.org/wiki/Rebecca_Pow,1
49,121,Stride,Mel,Mel Stride,1961-09-30,https://twitter.com/meljstride,@meljstride,https://en.wikipedia.org/wiki/Mel_Stride,1
50,123,Elmore,Chris,Chris Elmore,1983-12-23,https://twitter.com/cpjelmore,@cpjelmore,,1
51,124,Metcalfe,Stephen,Stephen Metcalfe,1966-01-09,https://twitter.com/Metcalfe_SBET,@Metcalfe_SBET,http://en.wikipedia.org/wiki/Stephen_Metcalfe_(politician),1
52,127,Kendall,Liz,Liz Kendall,1971-06-11,https://twitter.com/leicesterliz,@leicesterliz,https://en.wikipedia.org/wiki/Liz_Kendall,1
53,129,,Anna,Anna Soubry,1956-12-07,https://twitter.com/Anna_Soubry,@Anna_Soubry,https://en.wikipedia.org/wiki/Anna_Soubry,1
54,130,Dorries,Nadine,Nadine Dorries,1957-05-21,https://twitter.com/NadineDorries,@NadineDorries,https://en.wikipedia.org/wiki/Nadine_Dorries,1
55,131,Mills,Nigel,Nigel Mills,1974-10-28,https://twitter.com/nigelmills,@nigelmills,https://en.wikipedia.org/wiki/Nigel_Mills_%28politician%29,1
56,139,,Grant,Grant Shapps,1968-09-14,https://twitter.com/grantshapps,@grantshapps,https://en.wikipedia.org/wiki/Grant_Shapps,1
57,140,Berry,Jake,Jake Berry,1978-12-29,https://twitter.com/jakeberry,@jakeberry,https://en.wikipedia.org/wiki/Jake_Berry,1
58,142,Reed,Steve,Steve Reed,1963-11-12,https://twitter.com/SteveReedMP,@SteveReedMP,https://en.wikipedia.org/wiki/Steve_Reed_(politician),1
59,145,Qureshi,Yasmin,Yasmin Qureshi,1963-07-05,https://twitter.com/YasminQureshiMP,@YasminQureshiMP,https://en.wikipedia.org/wiki/Yasmin_Qureshi,1
60,146,Healey,John,John Healey,1960-02-13,https://twitter.com/JohnHealey_MP,@JohnHealey_MP,https://en.wikipedia.org/wiki/John_Healey_(politician),1
61,148,Coffey,Therese,Therese Coffey,1971-11-18,https://twitter.com/theresecoffey,@theresecoffey,https://en.wikipedia.org/wiki/Therese_Coffey,1
62,151,Hancock,Matthew,Matthew Hancock,1978-10-02,https://twitter.com/MhancockUK,@MhancockUK,https://en.wikipedia.org/wiki/Matthew_Hancock,1
63,153,Vara,Shailesh,Shailesh Vara,1960-09-04,https://twitter.com/ShaileshVara,@ShaileshVara,https://en.wikipedia.org/wiki/Shailesh_Vara,1
64,155,Johnson,Jo,Jo Johnson,1971-12-23,https://twitter.com/JoJohnsonUK,@JoJohnsonUK,https://en.wikipedia.org/wiki/Jo_Johnson,1
65,157,Cooper,Julie,Julie Cooper,1960-06-20,https://twitter.com/julieforburnley,@julieforburnley,https://en.wikipedia.org/wiki/Julie_Cooper_%28politician%29,1
66,160,Jones,,Kevan Jones,1964-04-25,https://twitter.com/Kevan4NDurham,@Kevan4NDurham,https://en.wikipedia.org/wiki/Kevan_Jones,1
67,163,,Wes,Wes Streeting,1983-01-21,https://twitter.com/wesstreeting,@wesstreeting,https://en.wikipedia.org/wiki/Wes_Streeting,1
68,164,McDonell,John,John Martin McDonnell,1951-09-08,https://twitter.com/johnmcdonnellMP,@johnmcdonnellMP,https://en.wikipedia.org/wiki/John_McDonnell_%28politician%29,1
69,166,Bradley,Ben,Ben Bradley,1989-12,https://twitter.com/bbradleymp,@bbradleymp,,1
70,176,Eagle,Maria,Maria Eagle,1961-02-17,https://twitter.com/meaglemp,@meaglemp,https://en.wikipedia.org/wiki/Maria_Eagle,1
71,177,,Giles,Giles Watling,1953-02-18,https://twitter.com/GilesWatling,@GilesWatling,,1
72,178,Bebb,Guto,Guto Bebb,1968-10-09,https://twitter.com/GutoAberconwy,@GutoAberconwy,http://en.wikipedia.org/wiki/Guto_Bebb,1
73,180,,Bridget,Bridget Phillipson,1983-12-19,https://twitter.com/bphillipsonMP,@bphillipsonMP,https://en.wikipedia.org/wiki/Bridget_Phillipson,1
74,182,McDonagh,,Siobhain McDonagh,1960-02-20,https://twitter.com/Siobhain_MP,@Siobhain_MP,https://en.wikipedia.org/wiki/Siobhain_McDonagh,1
75,184,Burden,Richard,Richard Burden,1954-09-01,https://twitter.com/RichardBurdenMP,@RichardBurdenMP,https://en.wikipedia.org/wiki/Richard_Burden,1
76,185,Goodman,Helen,Helen Goodman,1958-01-02,https://twitter.com/HelenGoodmanMP,@HelenGoodmanMP,https://en.wikipedia.org/wiki/Helen_Goodman,1
77,187,Peacock,Stephanie,Stephanie Peacock,1986-12-19,https://twitter.com/Steph_Peacock,@Steph_Peacock,,1
78,191,,Owen,Owen Paterson,1956-06-24,https://twitter.com/OwenPaterson,@OwenPaterson,https://en.wikipedia.org/wiki/Owen_Paterson,1
79,195,,Lesley,Lesley Laird,1958-11-15,https://twitter.com/LesleyLaird,@LesleyLaird,,1
80,196,Twigg,Derek,Derek Twigg,1959-07-09,https://twitter.com/DerekTwiggMP,@DerekTwiggMP,https://en.wikipedia.org/wiki/Derek_Twigg,1
81,199,Harrington,Richard,Richard Harrington,1957-11-04,https://twitter.com/Richard4Watford,@Richard4Watford,https://en.wikipedia.org/wiki/Richard_Harrington_(politician),1
82,200,West,Catherine,Catherine West,1966-09-14,https://twitter.com/catherinewest1,@catherinewest1,https://en.wikipedia.org/wiki/Catherine_West,1
83,202,Sharma,Alok,Alok Sharma,1967-09-07,https://twitter.com/AlokSharma_RDG,@AlokSharma_RDG,https://en.wikipedia.org/wiki/Alok_Sharma,1
84,205,Johnson,Boris,Boris Johnson,1964-06-19,https://twitter.com/borisjohnson,@borisjohnson,http://en.wikipedia.org/wiki/Boris_Johnson,1
85,211,Mann,Scott,Scott Mann,1977-06-24,https://twitter.com/scottmann4NC,@scottmann4NC,https://en.wikipedia.org/wiki/Scott_Mann_%28politician%29,1
86,212,Creagh,Mary,Mary Creagh,1967-12-02,https://twitter.com/MaryCreaghMP,@MaryCreaghMP,https://en.wikipedia.org/wiki/Mary_Creagh,1
87,215,,Layla,Layla Moran,1982-09-12,https://twitter.com/laylamoran,@laylamoran,,1
88,218,Cooper,Yvette,Yvette Cooper,1969-03-20,https://twitter.com/YvetteCooperMP,@YvetteCooperMP,https://en.wikipedia.org/wiki/Yvette_Cooper,1
89,221,Murray,Ian,Ian Murray,1976-08-10,https://twitter.com/IanMurrayMP,@IanMurrayMP,http://en.wikipedia.org/wiki/Ian_Murray_%28British_politician%29,1
90,223,,Emma,Emma Lewell-Buck,1978-11-08,https://twitter.com/EmmaLewellBuck,@EmmaLewellBuck,https://en.wikipedia.org/wiki/Emma_Lewell-Buck,1
91,225,Hughes,Eddie,Eddie Hughes,1968-10-03,https://twitter.com/EddieHughes4WN,@EddieHughes4WN,,1
92,227,Javid,Sajid,Sajid Javid,1969-12-05,https://twitter.com/sajidjavid,@sajidjavid,https://en.wikipedia.org/wiki/Sajid_Javid,1
93,229,Cherry,Joanna,Joanna Cherry,1966-03-18,https://twitter.com/joannaccherry,@joannaccherry,https://en.wikipedia.org/wiki/Joanna_Cherry,1
94,235,Bryant,Chris,Chris Bryant,1962-01-11,https://twitter.com/RhonddaBryant,@RhonddaBryant,https://en.wikipedia.org/wiki/Chris_Bryant,1
95,236,,Karin,Karin Smyth,1964-09-08,https://twitter.com/karinsmyth,@karinsmyth,https://en.wikipedia.org/wiki/Karin_Smyth,1
96,240,Timms,Stephen,Stephen Timms,1955-07-29,https://twitter.com/stephenctimms,@stephenctimms,https://en.wikipedia.org/wiki/Stephen_Timms,1
97,242,Twigg,Stephen,Stephen Twigg,1966-12-25,https://twitter.com/StephenTwigg,@StephenTwigg,https://en.wikipedia.org/wiki/Stephen_Twigg,1
98,246,,Nigel,Keith Vaz,1956-11-26,https://twitter.com/keith4leicester,@keith4leicester,https://en.wikipedia.org/wiki/Keith_Vaz,1
99,251,,Will,Will Quince,1982-12-27,https://twitter.com/willquince,@willquince,https://en.wikipedia.org/wiki/Will_Quince,1
100,252,,,Tanmanjeet Singh Dhesi,1978-08-17,https://twitter.com/TanDhesi,@TanDhesi,,1
101,253,Davies,Christopher,Chris Davies,1967-08-18,https://twitter.com/ChrisDavies_MP,@ChrisDavies_MP,https://en.wikipedia.org/wiki/Christopher_Davies_%28politician%29,1
102,257,Hamilton,Fabian,Fabian Hamilton,1955-04-12,https://twitter.com/FabianLeedsNE,@FabianLeedsNE,https://en.wikipedia.org/wiki/Fabian_Hamilton,1
103,263,Owen,Albert,Albert Owen,1959-08-10,https://twitter.com/AlbertOwenMP,@AlbertOwenMP,https://en.wikipedia.org/wiki/Albert_Owen,1
104,264,Jones,Andrew,Andrew Jones,1963-11-28,https://twitter.com/AJonesMP,@AJonesMP,https://en.wikipedia.org/wiki/Andrew_Jones_(British_politician),1
105,266,,Peter,Peter Kyle,1970-09-09,https://twitter.com/peterkyle,@peterkyle,https://en.wikipedia.org/wiki/Peter_Kyle_(politician),1
106,269,Field,Mark,Mark Field,1964-10-06,https://twitter.com/MarkFieldUK,@MarkFieldUK,https://en.wikipedia.org/wiki/Mark_Field,1
107,271,,Amanda,Amanda Milling,1975-03-12,https://twitter.com/amandamilling,@amandamilling,https://en.wikipedia.org/wiki/Amanda_Milling,1
108,272,Smith,Owen,Owen Smith,1970-03-02,https://twitter.com/owensmith_mp,@owensmith_mp,https://en.wikipedia.org/wiki/Owen_Smith_(politician),1
109,279,McInnes,Liz,Liz McInnes,1957-01-01,https://twitter.com/LizMcInnes2017,@LizMcInnes2017,https://en.wikipedia.org/wiki/Liz_McInnes,1
110,280,Brine,Steve,Steve Brine,1974-01-28,https://twitter.com/sbrine,@sbrine,https://en.wikipedia.org/wiki/Steve_Brine,1
111,293,Linden,David,David Linden,1990-05-14,https://twitter.com/DavidLinden,@DavidLinden,,1
112,296,Adams,Nigel,Nigel Adams,1966-11-30,https://twitter.com/nadams,@nadams,https://en.wikipedia.org/wiki/Nigel_Adams,1
113,297,Lopez,Julia,Julia Dockerill,1984-06-04,https://twitter.com/JuliaLopezMP,@JuliaLopezMP,,1
114,298,,Peter,Peter Heaton-Jones,1963-08-02,https://twitter.com/peternorthdevon,@peternorthdevon,https://en.wikipedia.org/wiki/Peter_Heaton-Jones,1
115,300,Wood,Mike,Mike Wood,1976-03-17,https://twitter.com/mikejwood,@mikejwood,https://en.wikipedia.org/wiki/Mike_Wood_%28British_Conservative_politician%29,1
116,302,,Emma,Emma Dent Coad,1954-11-15,https://twitter.com/emmadentcoad,@emmadentcoad,,1
117,306,Pidcock,Laura,Laura Pidcock,1988-06-18,https://twitter.com/laurapidcockmp,@laurapidcockmp,,1
118,311,,Ian,Ian Blackford,1961-05-14,https://twitter.com/IanBlackfordMP,@IanBlackfordMP,https://en.wikipedia.org/wiki/Ian_Blackford,1
119,312,Collins,Damian,Damian Collins,1974-02-04,https://twitter.com/DamianCollins,@DamianCollins,http://en.wikipedia.org/wiki/Damian_Collins,1
120,313,Shuker,Gavin,Gavin Shuker,1981-10-10,https://twitter.com/gavinshuker,@gavinshuker,https://en.wikipedia.org/wiki/Gavin_Shuker,1
121,316,Thomson,Ross,Ross Thomson,1987-09-21,https://twitter.com/RossThomson_MP,@RossThomson_MP,,1
122,317,Lucas,Caroline,Caroline Lucas,1960-12-09,https://twitter.com/CarolineLucas,@CarolineLucas,https://en.wikipedia.org/wiki/Caroline_Lucas,1
123,320,,Michelle,Michelle Donelan,1984-04-08,https://twitter.com/teamdonelan,@teamdonelan,https://en.wikipedia.org/wiki/Michelle_Donelan,1
124,326,Reeves,Ellie,Ellie Reeves,1980-12-11,https://twitter.com/elliereeves,@elliereeves,,1
125,328,Hammond,Stephen,Stephen Hammond,1962-02-04,https://twitter.com/s_hammond,@s_hammond,https://en.wikipedia.org/wiki/Stephen_Hammond,1
126,329,Carden,Dan,Dan Carden,1986-10-28,https://twitter.com/DanCardenMP,@DanCardenMP,,1
127,334,,Joanne,Jo Platt,1973-06-15,https://twitter.com/JoPlattMP,@JoPlattMP,,1
128,336,Vaizey,Ed,Ed Vaizey,1968-06-05,https://twitter.com/edvaizey,@edvaizey,https://en.wikipedia.org/wiki/Ed_Vaizey,1
129,338,Cummins,Judith,Judith Cummins,1967-06-26,https://twitter.com/judithcummins,@judithcummins,https://en.wikipedia.org/wiki/Judith_Cummins,1
130,342,Ellman,Louise,Louise Ellman,1945-11-14,https://twitter.com/LouiseEllman,@LouiseEllman,https://en.wikipedia.org/wiki/Louise_Ellman,1
131,344,,William,William Wragg,1987-12-11,https://twitter.com/william_wragg,@william_wragg,https://en.wikipedia.org/wiki/William_Wragg,1
132,348,Alexander,Heidi,Heidi Alexander,1975-04-17,https://twitter.com/heidi_mp,@heidi_mp,https://en.wikipedia.org/wiki/Heidi_Alexander,1
133,349,McDonald,Andy,Andy McDonald,1958-03-08,https://twitter.com/AndyMcDonaldMP,@AndyMcDonaldMP,https://en.wikipedia.org/wiki/Andy_McDonald_(politician),1
134,352,,Timothy James,Tim Farron,1970-05-27,https://twitter.com/timfarron,@timfarron,https://en.wikipedia.org/wiki/Tim_Farron,1
135,355,,Paul,Paul Girvan,1963-07-06,https://twitter.com/PaulGirvanMP,@PaulGirvanMP,,1
136,357,Poulter,Daniel,Daniel Poulter,1978-10-30,https://twitter.com/drdanpoulter,@drdanpoulter,https://en.wikipedia.org/wiki/Daniel_Poulter,1
137,363,Zahawi,,Nadhim Zahawi,1967-06-02,https://twitter.com/nadhimzahawi,@nadhimzahawi,https://en.wikipedia.org/wiki/Nadhim_Zahawi,1
138,367,Parish,Neil,Neil Parish,1956-05-26,https://twitter.com/neil_parish,@neil_parish,http://en.wikipedia.org/wiki/Neil_Parish,1
139,368,Coffey,Ann,Ann Coffey,1946-08-31,https://twitter.com/anncoffey_mp,@anncoffey_mp,https://en.wikipedia.org/wiki/Ann_Coffey,1
140,371,Morris,Grahame,Grahame Morris,1961-03-13,https://twitter.com/grahamemorris,@grahamemorris,https://en.wikipedia.org/wiki/Grahame_Morris,1
141,372,Nokes,Caroline,Caroline Nokes,1972-06-26,https://twitter.com/carolinenokes,@carolinenokes,https://en.wikipedia.org/wiki/Caroline_Nokes,1
142,374,Sherriff,Paula,Paula Sherriff,1975-04-16,https://twitter.com/paulasherriff,@paulasherriff,https://en.wikipedia.org/wiki/Paula_Sherriff,1
143,377,,Gloria,Gloria De Piero,1972-12-21,https://twitter.com/GloriaDePiero,@GloriaDePiero,https://en.wikipedia.org/wiki/Gloria_De_Piero,1
144,379,Nandy,Lisa,Lisa Nandy,1979-08-09,https://twitter.com/lisanandy,@lisanandy,https://en.wikipedia.org/wiki/Lisa_Nandy,1
145,382,Shannon,Jim,Jim Shannon,1955-03-25,https://twitter.com/jimshannonmp,@jimshannonmp,https://en.wikipedia.org/wiki/Jim_Shannon,1
146,385,Courts,Robert,Robert Courts,1978-10-21,https://twitter.com/robertcourts,@robertcourts,,1
147,393,Lammy,David,David Lammy,1972-07-19,https://twitter.com/DavidLammy,@DavidLammy,https://en.wikipedia.org/wiki/David_Lammy,1
148,395,,Kirsty,Kirsty Blackman,1986-03-20,https://twitter.com/KirstySNP,@KirstySNP,https://en.wikipedia.org/wiki/Kirsty_Blackman,1
149,397,Philp,Christopher,Chris Philp,1976-07-06,https://twitter.com/CPhilpOfficial,@CPhilpOfficial,https://en.wikipedia.org/wiki/Chris_Philp,1
150,399,Cable,Vincent,Vincent Cable,1943-05-09,https://twitter.com/vincecable,@vincecable,,1
151,400,,,Ranil Jayawardena,1986-09-03,https://twitter.com/TellRanil,@TellRanil,https://en.wikipedia.org/wiki/Ranil_Jayawardena,1
152,401,,Gareth,Gareth Snell,1986-01-01,https://twitter.com/gareth_snell,@gareth_snell,,1
153,405,Robinson,Gavin,Gavin Robinson,1984-11-22,https://twitter.com/grobinsondup,@grobinsondup,https://en.wikipedia.org/wiki/Gavin_Robinson,1
154,407,Syms,Robert,Robert Syms,1956-08-15,https://twitter.com/RobertSyms,@RobertSyms,https://en.wikipedia.org/wiki/Robert_Syms,1
155,408,Reynolds,Emma,Emma Reynolds,1977-11-02,https://twitter.com/EmmaReynoldsMP,@EmmaReynoldsMP,https://en.wikipedia.org/wiki/Emma_Reynolds,1
156,409,Umunna,Chuka,Chuka Umunna,1978-10-17,https://twitter.com/ChukaUmunna,@ChukaUmunna,https://en.wikipedia.org/wiki/Chuka_Umunna,1
157,411,Lancaster,Mark,Mark Lancaster,1970-05-12,https://twitter.com/MarkLancasterMK,@MarkLancasterMK,http://en.wikipedia.org/wiki/Mark_Lancaster,1
158,414,Cleverly,James,James Cleverly,1969-09-04,https://twitter.com/jamescleverly,@jamescleverly,https://en.wikipedia.org/wiki/James_Cleverly,1
159,415,Hendrick,Mark,Mark Hendrick,1958-11-02,https://twitter.com/MpHendrick,@MpHendrick,https://en.wikipedia.org/wiki/Mark_Hendrick,1
160,416,Cooper,Rosie,Rosie Cooper,1950-09-05,https://twitter.com/rosie4westlancs,@rosie4westlancs,http://en.wikipedia.org/wiki/Rosie_Cooper,1
161,417,,Seema,Seema Malhotra,1970-08-07,https://twitter.com/SeemaMalhotra1,@SeemaMalhotra1,http://en.wikipedia.org/wiki/Seema_Malhotra,1
162,421,,John,John Spellar,1947-08-05,https://twitter.com/spellar,@spellar,https://en.wikipedia.org/wiki/John_Spellar,1
163,422,McVey,Esther,Esther McVey,1967-10-24,https://twitter.com/EstherMcVey1,@EstherMcVey1,,1
164,425,Lewis,Brandon,Brandon Lewis,1971-06-20,https://twitter.com/BrandonLewis,@BrandonLewis,https://en.wikipedia.org/wiki/Brandon_Lewis,1
165,426,McMahon,Jim,Jim McMahon,1980-07-07,https://twitter.com/JimfromOldham,@JimfromOldham,,1
166,431,,Angela,Angela Rayner,1980-03-28,https://twitter.com/angelarayner,@angelarayner,https://en.wikipedia.org/wiki/Angela_Rayner,1
167,432,Evans,Chris,Chris Evans,1977-07-07,https://twitter.com/ChrisEvansMP,@ChrisEvansMP,https://en.wikipedia.org/wiki/Chris_Evans_(British_politician),1
168,435,Bardell,Hannah,Hannah Bardell,1983-06-01,https://twitter.com/hannahb4livimp,@hannahb4livimp,https://en.wikipedia.org/wiki/Hannah_Bardell,1
169,436,Kane,Mike,Mike Kane,1969-01-09,https://twitter.com/MikeKaneMP,@MikeKaneMP,https://en.wikipedia.org/wiki/Mike_Kane,1
170,439,MacNeil,Angus,Angus MacNeil,1970-07-21,https://twitter.com/abmacneilsnp,@abmacneilsnp,https://en.wikipedia.org/wiki/Angus_MacNeil,1
171,442,,Sarah,Sarah Champion,1969-03-10,https://twitter.com/SarahChampionMP,@SarahChampionMP,https://en.wikipedia.org/wiki/Sarah_Champion_(politician),1
172,445,Wallace,Ben,Ben Wallace,1970-05-15,https://twitter.com/BWallaceMP,@BWallaceMP,https://en.wikipedia.org/wiki/Ben_Wallace_(politician),1
173,446,Letwin,Oliver,Oliver Letwin,1956-05-19,https://twitter.com/oletwinofficial,@oletwinofficial,https://en.wikipedia.org/wiki/Oliver_Letwin,1
174,448,Tracey,Craig,Craig Tracey,1974-08-21,https://twitter.com/craig4nwarks,@craig4nwarks,https://en.wikipedia.org/wiki/Craig_Tracey,1
175,450,,Kelly,Kelly Tolhurst,1978-08-23,https://twitter.com/kellytolhurst,@kellytolhurst,https://en.wikipedia.org/wiki/Kelly_Tolhurst,1
176,452,Hands,Greg,Greg Hands,1965-11-14,https://twitter.com/GregHands,@GregHands,http://en.wikipedia.org/wiki/Greg_Hands,1
177,453,,,Chi Onwurah,1965-04-12,https://twitter.com/ChiOnwurah,@ChiOnwurah,https://en.wikipedia.org/wiki/Chi_Onwurah,1
178,455,,Stephen,Stephen Kinnock,1970-01-01,https://twitter.com/skinnock,@skinnock,https://en.wikipedia.org/wiki/Stephen_Kinnock,1
179,463,,Jeremy,Jeremy Lefroy,1959-05-30,https://twitter.com/JeremyLefroy,@JeremyLefroy,https://en.wikipedia.org/wiki/Jeremy_Lefroy,1
180,464,Jardine,Christine,Christine Jardine,1960-11-24,https://twitter.com/Cajardine,@Cajardine,,1
181,472,McCarthy,Kerry,Kerry McCarthy,1965-03-26,https://twitter.com/KerryMP,@KerryMP,https://en.wikipedia.org/wiki/Kerry_McCarthy,1
